,n_decisiones,ret_anualizado,vol_anualizada,sharpe,sortino,mdd,var_95pct,ret_total
GLOBAL 2021–2025,250.0000,0.1191,0.1345,0.8362,0.7581,-0.1508,-0.0287,0.7472
Régimen Low (VIX <20),161.0000,0.1407,0.1120,1.1754,1.1086,-0.0971,-0.0273,0.5228
Régimen Moderate (VIX 20-30),76.0000,0.0768,0.1598,0.4629,0.3771,-0.1353,-0.0363,0.1180
Régimen Stress (VIX >30),13.0000,0.1054,0.2073,0.4831,0.6201,-0.0975,-0.0322,0.0262
2021,50.0000,0.0705,0.1011,0.6741,0.5156,-0.0500,-0.0287,0.0699
2022,50.0000,-0.0164,0.1562,-0.1056,-0.0980,-0.1508,-0.0372,-0.0162
2023,50.0000,0.1713,0.1324,1.1938,1.3557,-0.0971,-0.0222,0.1698
2024,50.0000,0.0726,0.1093,0.6411,0.5455,-0.0825,-0.0278,0.0720
2025,50.0000,0.3267,0.1593,1.7748,1.4602,-0.0896,-0.0234,0.3237
Rusia-Ucrania (feb-dic 2022),43.0000,-0.0399,0.1577,-0.2581,-0.2475,-0.1508,-0.0349,-0.0341
Crisis bancaria (mar-may 2023),11.0000,0.3195,0.0799,3.4696,7.4144,-0.0233,-0.0072,0.0624
